d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,population,short name
1572,46039,SD,Deuel County,9,411,1394928,
1573,48211,TX,Hemphill County,9,406,27469114,ustx
1574,29215,MO,Texas County,9,7130,6083672,MO
1575,5053,AR,Grant County,2,2062,2978204,AR
1576,38099,ND,Walsh County,6,1176,756927,ND
1577,45073,SC,Oconee County,6,11021,4896146,SC
1578,13081,GA,Crisp County,6,6751,10214860,GA
1579,49025,UT,Kane County,6,745,2763885,UT
1580,40027,OK,Cleveland County,1,33109,3911338,OK
1581,36015,NY,Chemung County,3,12390,19795791,N.Y.
1582,27121,MN,Pope County,8,991,5489594,MN
1583,16023,ID,Butte County,8,451,1654930,ID
1584,46037,SD,Day County,9,759,1394928,
1585,31005,NE,Arthur County,9,56,1896190,NE
1586,50009,VT,Essex County,9,966,626042,VT
1587,16051,ID,Jefferson County,3,2875,1654930,ID
1588,12077,FL,Liberty County,8,1468,20271272,Fla.
1589,4001,AZ,Apache County,6,23966,6828065,AZ
1590,41047,OR,Marion County,2,44581,4028977,OR
1591,48271,TX,Kinney County,9,652,27469114,ustx
1592,22127,LA,Winn Parish,6,3080,3976322,LA
1593,31011,NE,Boone County,9,525,1896190,NE
1594,26121,MI,Muskegon County,3,31393,9922576,MI
1595,46023,SD,Charles Mix County,9,1951,1394928,
1596,30073,MT,Pondera County,7,1083,1032949,MT
1597,30029,MT,Flathead County,5,11897,1032949,MT
1598,29510,MO,St. Louis city,1,73250,6083672,MO
1599,36079,NY,Putnam County,1,5844,19795791,N.Y.
1600,18013,IN,Brown County,1,1613,6619680,IN
1601,48215,TX,Hidalgo County,2,262028,27469114,ustx
1602,12069,FL,Lake County,1,39212,20271272,Fla.
1603,31177,NE,Washington County,2,1405,1896190,NE
1604,47071,TN,Hardin County,6,5438,6600299,TN
1605,48057,TX,Calhoun County,3,3420,27469114,ustx
1606,42073,PA,Lawrence County,4,11672,12802503,PA
1607,22061,LA,Lincoln Parish,4,12959,3976322,LA
1608,39133,OH,Portage County,2,20743,11613423,OH
1609,30039,MT,Granite County,8,438,1032949,MT
1610,53037,WA,Kittitas County,6,7724,7170351,Wash.
1611,53005,WA,Benton County,3,20153,7170351,Wash.
1612,27063,MN,Jackson County,7,858,5489594,MN
1613,48181,TX,Grayson County,3,16550,27469114,ustx
1614,13145,GA,Harris County,2,2883,10214860,GA
1615,20063,KS,Gove County,9,264,2911641,KS
1616,24027,MD,Howard County,1,16536,6006401,Md.
1617,26099,MI,Macomb County,1,94224,9922576,MI
1618,39029,OH,Columbiana County,4,17130,11613423,OH
1619,1075,AL,Lamar County,9,2545,4858979,AL
1620,20185,KS,Stafford County,9,547,2911641,KS
1621,51177,VA,Spotsylvania County,1,9648,8382993,VA
1622,20203,KS,Wichita County,9,244,2911641,KS
1623,38031,ND,Foster County,9,287,756927,ND
1624,39147,OH,Seneca County,4,6782,11613423,OH
1625,28047,MS,Harrison County,3,40472,2992333,MS
1626,26119,MI,Montmorency County,9,1535,9922576,MI
1627,39045,OH,Fairfield County,1,14445,11613423,OH
1628,1079,AL,Lawrence County,3,5530,4858979,AL
1629,29019,MO,Boone County,3,27774,6083672,MO
1630,37187,NC,Washington County,7,3147,10042802,NC
1631,5127,AR,Scott County,6,1991,2978204,AR
1632,27095,MN,Mille Lacs County,6,3047,5489594,MN
1633,18093,IN,Lawrence County,4,6139,6619680,IN
1634,31157,NE,Scotts Bluff County,5,5645,1896190,NE
1635,51025,VA,Brunswick County,6,3275,8382993,VA
1636,29175,MO,Randolph County,6,3616,6083672,MO
1637,39069,OH,Henry County,6,2258,11613423,OH
1638,17091,IL,Kankakee County,3,14958,12859995,IL
1639,49003,UT,Box Elder County,4,5008,2763885,UT
1640,39087,OH,Lawrence County,2,10771,11613423,OH
1641,30097,MT,Sweet Grass County,9,351,1032949,MT
1642,26131,MI,Ontonagon County,9,925,9922576,MI
1643,47053,TN,Gibson County,4,8157,6600299,TN
1644,27145,MN,Stearns County,3,17429,5489594,MN
1645,16069,ID,Nez Perce County,3,5861,1654930,ID
1646,12029,FL,Dixie County,6,3697,20271272,Fla.
1647,48171,TX,Gillespie County,7,2563,27469114,ustx
1648,20021,KS,Cherokee County,6,3148,2911641,KS
1649,55123,WI,Vernon County,6,5019,5771337,WI
1650,18179,IN,Wells County,2,2663,6619680,IN
1651,5107,AR,Phillips County,7,6042,2978204,AR
1652,31145,NE,Red Willow County,7,1100,1896190,NE
1653,54063,WV,Monroe County,8,2295,1844128,WV
1654,55087,WI,Outagamie County,3,14548,5771337,WI
1655,1123,AL,Tallapoosa County,6,8111,4858979,AL
1656,19133,IA,Monona County,6,1111,3046355,IA
1657,41063,OR,Wallowa County,9,1000,4028977,OR
1658,54075,WV,Pocahontas County,9,1495,1844128,WV
1659,34037,NJ,Sussex County,1,8460,8958013,NJ
1660,30009,MT,Carbon County,3,1071,1032949,MT
1661,21113,KY,Jessamine County,2,8014,4425092,KY
1662,49007,UT,Carbon County,7,3013,2763885,UT
1663,29135,MO,Moniteau County,3,1696,6083672,MO
1664,39107,OH,Mercer County,7,3308,11613423,OH
1665,54069,WV,Ohio County,3,6361,1844128,WV
1666,21167,KY,Mercer County,6,3088,4425092,KY
1667,1107,AL,Pickens County,8,4756,4858979,AL
1668,51065,VA,Fluvanna County,3,1867,8382993,VA
1669,8037,CO,Eagle County,5,4239,5456574,Colo.
1670,13251,GA,Screven County,6,3744,10214860,GA
1671,18123,IN,Perry County,6,2612,6619680,IN
1672,39163,OH,Vinton County,9,2661,11613423,OH
1673,6073,CA,San Diego County,1,400028,39144818,Cal.
1674,19083,IA,Hardin County,6,1807,3046355,IA
1675,31085,NE,Hayes County,9,150,1896190,NE
1676,56041,WY,Uinta County,7,2183,586107,WY
1677,46059,SD,Hand County,9,295,1394928,
1678,27163,MN,Washington County,1,11304,5489594,MN
1679,48207,TX,Haskell County,6,1258,27469114,ustx
1680,26083,MI,Keweenaw County,9,269,9922576,MI
1681,48129,TX,Donley County,8,593,27469114,ustx
1682,37025,NC,Cabarrus County,1,21980,10042802,NC
1683,30013,MT,Cascade County,3,11333,1032949,MT
1684,40049,OK,Garvin County,6,4791,3911338,OK
1685,30031,MT,Gallatin County,5,11526,1032949,MT
1686,35055,NM,Taos County,7,7354,2085109,NM
1687,18161,IN,Union County,8,912,6619680,IN
1688,51700,VA,Newport News city,1,25395,8382993,VA
1689,37127,NC,Nash County,3,15151,10042802,NC
1690,50021,VT,Rutland County,5,7591,626042,VT
1691,21197,KY,Powell County,6,3185,4425092,KY
1692,37041,NC,Chowan County,7,2665,10042802,NC
1693,48489,TX,Willacy County,6,7076,27469114,ustx
1694,27035,MN,Crow Wing County,5,6975,5489594,MN
1695,41041,OR,Lincoln County,4,9289,4028977,OR
1696,31167,NE,Stanton County,9,449,1896190,NE
1697,55105,WI,Rock County,3,20393,5771337,WI
1698,36007,NY,Broome County,2,30417,19795791,N.Y.
1699,28017,MS,Chickasaw County,7,3715,2992333,MS
1700,36081,NY,Queens County,1,307866,19795791,N.Y.
1701,40139,OK,Texas County,7,2861,3911338,OK
1702,42115,PA,Susquehanna County,6,5117,12802503,PA
1703,22113,LA,Vermilion Parish,4,11669,3976322,LA
1704,20163,KS,Rooks County,9,592,2911641,KS
1705,54095,WV,Tyler County,6,1431,1844128,WV
1706,51149,VA,Prince George County,1,3176,8382993,VA
1707,13033,GA,Burke County,2,5986,10214860,GA
1708,16079,ID,Shoshone County,6,2319,1654930,ID
1709,20133,KS,Neosho County,7,2552,2911641,KS
1710,18027,IN,Daviess County,7,4609,6619680,IN
1711,13101,GA,Echols County,3,913,10214860,GA
1712,31081,NE,Hamilton County,7,697,1896190,NE
1713,8105,CO,Rio Grande County,7,1972,5456574,Colo.
1714,5079,AR,Lincoln County,3,2726,2978204,AR
1715,12017,FL,Citrus County,4,23472,20271272,Fla.
1716,48387,TX,Red River County,6,2057,27469114,ustx
1717,41019,OR,Douglas County,4,16692,4028977,OR
1718,22117,LA,Washington Parish,6,12371,3976322,LA
1719,28115,MS,Pontotoc County,7,5725,2992333,MS
1720,1005,AL,Barbour County,6,6787,4858979,AL
1721,31129,NE,Nuckolls County,9,525,1896190,NE
1722,16063,ID,Lincoln County,9,665,1654930,ID
1723,46111,SD,Sanborn County,9,268,1394928,
1724,12051,FL,Hendry County,4,9712,20271272,Fla.
1725,37179,NC,Union County,1,20266,10042802,NC
1726,48039,TX,Brazoria County,1,34053,27469114,ustx
1727,20087,KS,Jefferson County,3,1765,2911641,KS
1728,8051,CO,Gunnison County,7,2128,5456574,Colo.
1729,12123,FL,Taylor County,6,4291,20271272,Fla.
1730,47069,TN,Hardeman County,6,5443,6600299,TN
1731,28137,MS,Tate County,1,4648,2992333,MS
1732,8063,CO,Kit Carson County,7,1023,5456574,Colo.
1733,18011,IN,Boone County,1,4481,6619680,IN
1734,55133,WI,Waukesha County,1,20315,5771337,WI
1735,8011,CO,Bent County,7,1358,5456574,Colo.
1736,51800,VA,Suffolk city,1,10303,8382993,VA
1737,13191,GA,McIntosh County,3,2847,10214860,GA
1738,36111,NY,Ulster County,3,23815,19795791,N.Y.
1739,41021,OR,Gilliam County,9,223,4028977,OR
1740,39019,OH,Carroll County,2,3475,11613423,OH
1741,45057,SC,Lancaster County,4,11381,4896146,SC
1742,48279,TX,Lamb County,6,2803,27469114,ustx
1743,51540,VA,Charlottesville city,3,10235,8382993,VA
1744,55089,WI,Ozaukee County,1,4626,5771337,WI
1745,22115,LA,Vernon Parish,4,7191,3976322,LA
1746,42077,PA,Lehigh County,2,48796,12802503,PA
1747,8021,CO,Conejos County,9,1836,5456574,Colo.
1748,13065,GA,Clinch County,6,1752,10214860,GA
1749,16001,ID,Ada County,2,46600,1654930,ID
1750,24015,MD,Cecil County,1,10099,6006401,Md.
1751,18095,IN,Madison County,3,21548,6619680,IN
1752,9015,CT,Windham County,4,13297,3590886,Ct.
1753,36099,NY,Seneca County,6,4322,19795791,N.Y.
1754,20023,KS,Cheyenne County,9,292,2911641,KS
1755,22049,LA,Jackson Parish,6,3122,3976322,LA
1756,28109,MS,Pearl River County,6,10031,2992333,MS
1757,54105,WV,Wirt County,3,1049,1844128,WV
1758,1031,AL,Coffee County,6,7271,4858979,AL
1759,39125,OH,Paulding County,6,2004,11613423,OH
1760,18061,IN,Harrison County,1,3997,6619680,IN
1761,28051,MS,Holmes County,6,7249,2992333,MS
1762,48481,TX,Wharton County,4,7163,27469114,ustx
1763,20199,KS,Wallace County,9,179,2911641,KS
1764,41009,OR,Columbia County,1,5537,4028977,OR
1765,29125,MO,Maries County,8,1331,6083672,MO
1766,48265,TX,Kerr County,4,7348,27469114,ustx
1767,29147,MO,Nodaway County,6,3251,6083672,MO
1768,48037,TX,Bowie County,3,16884,27469114,ustx
1769,12097,FL,Osceola County,1,49326,20271272,Fla.
1770,20201,KS,Washington County,9,588,2911641,KS
1771,6003,CA,Alpine County,8,199,39144818,Cal.
1772,20207,KS,Woodson County,9,571,2911641,KS
1773,39173,OH,Wood County,2,14060,11613423,OH
1774,24017,MD,Charles County,1,11536,6006401,Md.
1775,37153,NC,Richmond County,4,10900,10042802,NC
1776,48069,TX,Castro County,6,1372,27469114,ustx
1777,22029,LA,Concordia Parish,7,5239,3976322,LA
1778,6013,CA,Contra Costa County,1,97573,39144818,Cal.
1779,17061,IL,Greene County,6,1928,12859995,IL
1780,35001,NM,Bernalillo County,2,107909,2085109,NM
1781,23009,ME,Hancock County,6,5877,1328361,ME
1782,23023,ME,Sagadahoc County,2,3245,1328361,ME
1783,47147,TN,Robertson County,1,7061,6600299,TN
1784,44005,RI,Newport County,1,7120,1056298,R.I.
1785,17051,IL,Fayette County,6,3013,12859995,IL
1786,29073,MO,Gasconade County,6,1758,6083672,MO
1787,28143,MS,Tunica County,1,3164,2992333,MS
1788,13039,GA,Camden County,4,7573,10214860,GA
1789,21015,KY,Boone County,1,9662,4425092,KY
1790,20105,KS,Lincoln County,9,373,2911641,KS
1791,12113,FL,Santa Rosa County,2,17308,20271272,Fla.
1792,42107,PA,Schuylkill County,4,17479,12802503,PA
1793,42067,PA,Juniata County,6,2490,12802503,PA
1794,17009,IL,Brown County,7,774,12859995,IL
1795,39081,OH,Jefferson County,3,10469,11613423,OH
1796,18071,IN,Jackson County,4,5677,6619680,IN
1797,19087,IA,Henry County,7,2279,3046355,IA
1798,48261,TX,Kenedy County,9,65,27469114,ustx
1799,17197,IL,Will County,1,48627,12859995,IL
1800,45025,SC,Chesterfield County,6,9310,4896146,SC
1801,5061,AR,Howard County,7,2455,2978204,AR
1802,48095,TX,Concho County,8,682,27469114,ustx
1803,17079,IL,Jasper County,7,1009,12859995,IL
1804,12041,FL,Gilchrist County,3,2825,20271272,Fla.
1805,35029,NM,Luna County,6,6601,2085109,NM
1806,13017,GA,Ben Hill County,7,4467,10214860,GA
1807,46135,SD,Yankton County,7,2428,1394928,
1808,22005,LA,Ascension Parish,2,12864,3976322,LA
1809,37081,NC,Guilford County,2,92205,10042802,NC
1810,51023,VA,Botetourt County,2,2560,8382993,VA
1811,18039,IN,Elkhart County,3,26390,6619680,IN
1812,21105,KY,Hickman County,9,884,4425092,KY
1813,39053,OH,Gallia County,6,5995,11613423,OH
1814,42011,PA,Berks County,2,52766,12802503,PA
1815,48399,TX,Runnels County,6,1766,27469114,ustx
1816,29169,MO,Pulaski County,5,6044,6083672,MO
1817,51147,VA,Prince Edward County,6,4274,8382993,VA
1818,30005,MT,Blaine County,9,1581,1032949,MT
1819,54055,WV,Mercer County,5,11978,1844128,WV
1820,48245,TX,Jefferson County,2,47920,27469114,ustx
1821,22011,LA,Beauregard Parish,6,5243,3976322,LA
1822,13169,GA,Jones County,3,3482,10214860,GA
1823,29167,MO,Polk County,2,5004,6083672,MO
1824,25025,MA,Suffolk County,1,143799,6794422,MA
1825,51083,VA,Halifax County,6,6380,8382993,VA
1826,55119,WI,Taylor County,6,2376,5771337,WI
1827,47075,TN,Haywood County,6,3530,6600299,TN
1828,29063,MO,DeKalb County,3,1429,6083672,MO
1829,37155,NC,Robeson County,4,35835,10042802,NC
1830,21235,KY,Whitley County,7,10026,4425092,KY
1831,17143,IL,Peoria County,2,27254,12859995,IL
1832,50025,VT,Windham County,6,5318,626042,VT
1833,12049,FL,Hardee County,6,6081,20271272,Fla.
1834,6069,CA,San Benito County,1,6206,39144818,Cal.
1835,30047,MT,Lake County,6,5645,1032949,MT
1836,27067,MN,Kandiyohi County,4,4815,5489594,MN
1837,48233,TX,Hutchinson County,6,2783,27469114,ustx
1838,51720,VA,Norton city,7,875,8382993,VA
1839,30001,MT,Beaverhead County,7,1291,1032949,MT
1840,38097,ND,Traill County,8,642,756927,ND
1841,36089,NY,St. Lawrence County,5,17225,19795791,N.Y.
1842,48249,TX,Jim Wells County,4,9459,27469114,ustx
1843,19067,IA,Floyd County,7,2004,3046355,IA
1844,21161,KY,Mason County,6,3256,4425092,KY
1845,46069,SD,Hyde County,9,122,1394928,
1846,8069,CO,Larimer County,2,37023,5456574,Colo.
1847,45089,SC,Williamsburg County,6,9141,4896146,SC
1848,19165,IA,Shelby County,6,1037,3046355,IA
1849,4019,AZ,Pima County,2,180513,6828065,AZ
1850,29049,MO,Clinton County,1,2089,6083672,MO
1851,51091,VA,Highland County,9,293,8382993,VA
1852,5131,AR,Sebastian County,2,21232,2978204,AR
1853,5003,AR,Ashley County,7,3636,2978204,AR
1854,41005,OR,Clackamas County,1,35366,4028977,OR
1855,29089,MO,Howard County,3,1484,6083672,MO
1856,56019,WY,Johnson County,7,737,586107,WY
1857,36009,NY,Cattaraugus County,4,11014,19795791,N.Y.
1858,44009,RI,Washington County,1,11789,1056298,R.I.
1859,39135,OH,Preble County,2,4494,11613423,OH
1860,37141,NC,Pender County,2,8683,10042802,NC
1861,40031,OK,Comanche County,3,18024,3911338,OK
1862,39149,OH,Shelby County,4,4490,11613423,OH
1863,48507,TX,Zavala County,7,3991,27469114,ustx
1864,47059,TN,Greene County,6,11398,6600299,TN
1865,54089,WV,Summers County,7,2921,1844128,WV
1866,37131,NC,Northampton County,9,4319,10042802,NC
1867,8111,CO,San Juan County,9,107,5456574,Colo.
1868,18043,IN,Floyd County,1,7759,6619680,IN
1869,2068,AK,Denali Borough,8,121,738432,AK
1870,29095,MO,Jackson County,1,105697,6083672,MO
1871,46051,SD,Grant County,7,705,1394928,
1872,48329,TX,Midland County,3,15599,27469114,ustx
1873,54061,WV,Monongalia County,3,18202,1844128,WV
1874,13201,GA,Miller County,8,1340,10214860,GA
1875,45031,SC,Darlington County,3,13878,4896146,SC
1876,29107,MO,Lafayette County,1,4057,6083672,MO
1877,48313,TX,Madison County,6,1993,27469114,ustx
1878,36101,NY,Steuben County,4,12546,19795791,N.Y.
1879,29075,MO,Gentry County,8,952,6083672,MO
1880,55103,WI,Richland County,6,2296,5771337,WI
1881,33009,NH,Grafton County,5,8463,1330608,NH
1882,29027,MO,Callaway County,3,4754,6083672,MO
1883,23001,ME,Androscoggin County,3,13210,1328361,ME
1884,48101,TX,Cottle County,9,300,27469114,ustx
1885,38079,ND,Rolette County,9,3861,756927,ND
1886,48417,TX,Shackelford County,8,489,27469114,ustx
1887,40099,OK,Murray County,7,1816,3911338,OK
1888,45027,SC,Clarendon County,6,8045,4896146,SC
1889,46055,SD,Haakon County,8,209,1394928,
1890,13049,GA,Charlton County,6,2725,10214860,GA
1891,18133,IN,Putnam County,1,4080,6619680,IN
1892,47177,TN,Warren County,6,7736,6600299,TN
1893,42105,PA,Potter County,9,2335,12802503,PA
1894,41049,OR,Morrow County,6,1668,4028977,OR
1895,4012,AZ,La Paz County,6,4976,6828065,AZ
1896,27051,MN,Grant County,9,700,5489594,MN
1897,47157,TN,Shelby County,1,190199,6600299,TN
1898,18105,IN,Monroe County,3,30977,6619680,IN
1899,19047,IA,Crawford County,6,2345,3046355,IA
1900,51175,VA,Southampton County,6,2544,8382993,VA
1901,46091,SD,Marshall County,9,508,1394928,
1902,48431,TX,Sterling County,8,169,27469114,ustx
1903,29117,MO,Livingston County,6,2350,6083672,MO
1904,40047,OK,Garfield County,5,8920,3911338,OK
1905,41013,OR,Crook County,6,3192,4028977,OR
1906,54051,WV,Marshall County,3,5445,1844128,WV
1907,5085,AR,Lonoke County,2,8881,2978204,AR
1908,37161,NC,Rutherford County,4,12096,10042802,NC
1909,47051,TN,Franklin County,6,6143,6600299,TN
1910,39073,OH,Hocking County,6,4054,11613423,OH
1911,27015,MN,Brown County,7,1993,5489594,MN
1912,18003,IN,Allen County,2,54642,6619680,IN
1913,19071,IA,Fremont County,8,790,3046355,IA
1914,31161,NE,Sheridan County,9,831,1896190,NE
1915,27157,MN,Wabasha County,3,1595,5489594,MN
1916,36047,NY,Kings County,1,535092,19795791,N.Y.
1917,46075,SD,Jones County,9,120,1394928,
1918,40061,OK,Haskell County,6,2673,3911338,OK
1919,30015,MT,Chouteau County,8,895,1032949,MT
1920,47101,TN,Lewis County,6,2163,6600299,TN
1921,53055,WA,San Juan County,9,1599,7170351,Wash.
1922,18021,IN,Clay County,3,3666,6619680,IN
1923,29045,MO,Clark County,9,1020,6083672,MO
1924,49021,UT,Iron County,4,9021,2763885,UT
1925,20079,KS,Harvey County,2,3528,2911641,KS
1926,28059,MS,Jackson County,3,24525,2992333,MS
1927,31121,NE,Merrick County,7,797,1896190,NE
1928,20047,KS,Edwards County,9,325,2911641,KS
1929,13147,GA,Hart County,6,4286,10214860,GA
1930,40117,OK,Pawnee County,2,2696,3911338,OK
1931,40143,OK,Tulsa County,2,99417,3911338,OK
1932,46121,SD,Todd County,9,4928,1394928,
1933,37157,NC,Rockingham County,2,16352,10042802,NC
1934,5123,AR,St. Francis County,6,6973,2978204,AR
1935,18079,IN,Jennings County,6,3478,6619680,IN
1936,53043,WA,Lincoln County,8,1279,7170351,Wash.
1937,27005,MN,Becker County,6,4200,5489594,MN
1938,46107,SD,Potter County,9,219,1394928,
1939,1053,AL,Escambia County,6,8020,4858979,AL
1940,54065,WV,Morgan County,3,2079,1844128,WV
1941,37027,NC,Caldwell County,2,13697,10042802,NC
1942,31009,NE,Blaine County,9,75,1896190,NE
1943,30061,MT,Mineral County,8,737,1032949,MT
1944,16085,ID,Valley County,8,998,1654930,ID
1945,28013,MS,Calhoun County,7,3146,2992333,MS
1946,21021,KY,Boyle County,7,4562,4425092,KY
1947,23011,ME,Kennebec County,4,16479,1328361,ME
1948,31105,NE,Kimball County,6,468,1896190,NE
1949,21107,KY,Hopkins County,4,8154,4425092,KY
1950,1067,AL,Henry County,3,3159,4858979,AL
1951,38039,ND,Griggs County,9,213,756927,ND
1952,48303,TX,Lubbock County,3,55089,27469114,ustx
1953,27143,MN,Sibley County,8,1328,5489594,MN
1954,1083,AL,Limestone County,2,11511,4858979,AL
1955,36109,NY,Tompkins County,3,17022,19795791,N.Y.
1956,46119,SD,Sully County,9,102,1394928,
1957,45079,SC,Richland County,2,61910,4896146,SC
1958,48423,TX,Smith County,3,34487,27469114,ustx
1959,51660,VA,Harrisonburg city,3,12919,8382993,VA
1960,38041,ND,Hettinger County,9,256,756927,ND
1961,38003,ND,Barnes County,6,1137,756927,ND
1962,17041,IL,Douglas County,6,1895,12859995,IL
1963,22051,LA,Jefferson Parish,1,69610,3976322,LA
1964,1057,AL,Fayette County,6,3307,4858979,AL
1965,13121,GA,Fulton County,1,159400,10214860,GA
1966,17153,IL,Pulaski County,9,1183,12859995,IL
1967,42057,PA,Fulton County,8,1527,12802503,PA
1968,13227,GA,Pickens County,1,3447,10214860,GA
1969,26067,MI,Ionia County,2,8487,9922576,MI
1970,26153,MI,Schoolcraft County,7,1162,9922576,MI
1971,48283,TX,La Salle County,6,1561,27469114,ustx
1972,47109,TN,McNairy County,6,5623,6600299,TN
1973,27149,MN,Stevens County,7,969,5489594,MN
1974,26159,MI,Van Buren County,2,12282,9922576,MI
1975,6111,CA,Ventura County,2,81792,39144818,Cal.
1976,16013,ID,Blaine County,7,2128,1654930,ID
1977,13281,GA,Towns County,9,1558,10214860,GA
1978,56001,WY,Albany County,4,6229,586107,WY
1979,26015,MI,Barry County,2,4932,9922576,MI
1980,22063,LA,Livingston Parish,2,17396,3976322,LA
1981,37043,NC,Clay County,9,1647,10042802,NC
1982,18059,IN,Hancock County,1,5327,6619680,IN
1983,18089,IN,Lake County,1,79529,6619680,IN
1984,49015,UT,Emery County,9,1263,2763885,UT
1985,32019,NV,Lyon County,6,6289,2890845,NV
1986,1117,AL,Shelby County,1,16406,4858979,AL
1987,17085,IL,Jo Daviess County,6,2145,12859995,IL
1988,23021,ME,Piscataquis County,8,3136,1328361,ME
1989,45001,SC,Abbeville County,6,3689,4896146,SC
1990,17007,IL,Boone County,2,5071,12859995,IL
1991,26157,MI,Tuscola County,6,7148,9922576,MI
1992,27159,MN,Wadena County,7,1952,5489594,MN
1993,48443,TX,Terrell County,9,152,27469114,ustx
1994,48475,TX,Ward County,6,1464,27469114,ustx
1995,39011,OH,Auglaize County,4,4165,11613423,OH
1996,54073,WV,Pleasants County,3,987,1844128,WV
1997,20115,KS,Marion County,6,1271,2911641,KS
1998,51595,VA,Emporia city,6,1172,8382993,VA
1999,26049,MI,Genesee County,2,81761,9922576,MI
2000,20045,KS,Douglas County,3,17501,2911641,KS
2001,48293,TX,Limestone County,6,4608,27469114,ustx
2002,26109,MI,Menominee County,7,2965,9922576,MI
2003,47183,TN,Weakley County,7,6591,6600299,TN
2004,54047,WV,McDowell County,7,6882,1844128,WV
2005,41057,OR,Tillamook County,6,3300,4028977,OR
2006,47153,TN,Sequatchie County,2,2598,6600299,TN
2007,48127,TX,Dimmit County,6,2940,27469114,ustx
2008,22071,LA,Orleans Parish,1,91421,3976322,LA
2009,48049,TX,Brown County,5,6217,27469114,ustx
2010,18031,IN,Decatur County,6,3021,6619680,IN
2011,48497,TX,Wise County,1,7591,27469114,ustx
2012,21071,KY,Floyd County,7,11137,4425092,KY
2013,18109,IN,Morgan County,1,7254,6619680,IN
2014,29139,MO,Montgomery County,8,1739,6083672,MO
2015,37111,NC,McDowell County,6,8050,10042802,NC
2016,47093,TN,Knox County,2,65480,6600299,TN
2017,40039,OK,Custer County,7,4984,3911338,OK
2018,39059,OH,Guernsey County,6,7161,11613423,OH
2019,13267,GA,Tattnall County,6,6108,10214860,GA
2020,2164,AK,Lake and Peninsula Borough,9,325,738432,AK
2021,49031,UT,Piute County,9,253,2763885,UT
2022,27001,MN,Aitkin County,8,2010,5489594,MN
2023,55075,WI,Marinette County,6,4916,5771337,WI
2024,20065,KS,Graham County,9,311,2911641,KS
2025,28019,MS,Choctaw County,9,1881,2992333,MS
2026,30111,MT,Yellowstone County,3,13581,1032949,MT
2027,51155,VA,Pulaski County,3,4758,8382993,VA
2028,22003,LA,Allen Parish,6,4588,3976322,LA
2029,5089,AR,Marion County,9,3342,2978204,AR
2030,56009,WY,Converse County,6,1272,586107,WY
2031,18167,IN,Vigo County,3,17567,6619680,IN
2032,12031,FL,Duval County,1,131327,20271272,Fla.
2033,1013,AL,Butler County,6,4880,4858979,AL
2034,38035,ND,Grand Forks County,3,9318,756927,ND
2035,20123,KS,Mitchell County,7,712,2911641,KS
2036,19079,IA,Hamilton County,6,1383,3046355,IA
2037,18087,IN,Lagrange County,6,3851,6619680,IN
2038,20055,KS,Finney County,5,5155,2911641,KS
2039,13175,GA,Laurens County,6,11931,10214860,GA
2040,6001,CA,Alameda County,1,173386,39144818,Cal.
2041,5117,AR,Prairie County,8,1441,2978204,AR
2042,29093,MO,Iron County,6,2184,6083672,MO
2043,13141,GA,Hancock County,7,2453,10214860,GA
2044,46033,SD,Custer County,8,882,1394928,
2045,13221,GA,Oglethorpe County,3,2272,10214860,GA
2046,19061,IA,Dubuque County,3,9738,3046355,IA
2047,22073,LA,Ouachita Parish,3,37014,3976322,LA
2048,27007,MN,Beltrami County,7,8070,5489594,MN
2049,22009,LA,Avoyelles Parish,6,9758,3976322,LA
2050,26125,MI,Oakland County,1,106650,9922576,MI
2051,12027,FL,DeSoto County,6,9323,20271272,Fla.
2052,35003,NM,Catron County,9,810,2085109,NM
2053,49019,UT,Grand County,7,1202,2763885,UT
2054,38047,ND,Logan County,9,238,756927,ND
2055,36073,NY,Orleans County,1,5905,19795791,N.Y.
2056,10003,DE,New Castle County,1,61319,945934,Del.
2057,19099,IA,Jasper County,6,3542,3046355,IA
2058,24031,MD,Montgomery County,1,71252,6006401,Md.
2059,47007,TN,Bledsoe County,8,2889,6600299,TN
2060,48415,TX,Scurry County,7,2377,27469114,ustx
2061,48011,TX,Armstrong County,3,197,27469114,ustx
2062,29009,MO,Barry County,6,7560,6083672,MO
2063,18173,IN,Warrick County,2,4615,6619680,IN
2064,19033,IA,Cerro Gordo County,5,4907,3046355,IA
2065,1109,AL,Pike County,6,7793,4858979,AL
2066,37073,NC,Gates County,8,1731,10042802,NC
2067,48379,TX,Rains County,8,1657,27469114,ustx
2068,42045,PA,Delaware County,1,58546,12802503,PA
2069,31107,NE,Knox County,9,1076,1896190,NE
2070,51735,VA,Poquoson city,1,650,8382993,VA
2071,21001,KY,Adair County,7,4633,4425092,KY
2072,42041,PA,Cumberland County,2,18620,12802503,PA
2073,27173,MN,Yellow Medicine County,9,963,5489594,MN
2074,18155,IN,Switzerland County,8,1780,6619680,IN
2075,51580,VA,Covington city,6,862,8382993,VA
2076,8091,CO,Ouray County,9,426,5456574,Colo.
2077,48491,TX,Williamson County,1,30201,27469114,ustx
2078,13095,GA,Dougherty County,3,26389,10214860,GA
2079,18063,IN,Hendricks County,1,9008,6619680,IN
2080,20139,KS,Osage County,3,1707,2911641,KS
2081,21005,KY,Anderson County,6,2335,4425092,KY
2082,51630,VA,Fredericksburg city,1,3755,8382993,VA
