d3mIndex,Month,State,County,Rate,State - area,County - area,State - coordinate location
1091,September,Wisconsin,Florence County,5.7,169640,2975,Point(-89.5 44.5)
1092,July,Virginia,Bristol City,5.7,110862,143,Point(-79.0 37.5)
1093,February,Ohio,Noble County,7.7,116096,6310,Point(-82.5 40.5)
1094,October,Arkansas,Ouachita County,5.5,137733,893,Point(-92.2 34.8)
1095,February,Minnesota,Mahnomen County,6.5,225163,893,Point(-94.0 46.0)
1096,May,Washington,Grays Harbor County,9.2,177,3685,Point(-77.036666666 38.895)
1097,March,Nebraska,Hooker County,5.7,200520,6683,Point(-100.0 41.5)
1098,February,Indiana,Putnam County,6.1,94321,15734,Point(-86.216666666 39.933333333)
1099,July,Nebraska,Banner County,3.3,200520,8430,Point(-100.0 41.5)
1100,June,Idaho,Custer County,5.1,216699,1247,Point(-114.0 45.0)
1101,March,Colorado,Ouray County,5.5,269837,1498,Point(-105.5 39.0)
1102,September,Montana,Fallon County,2.2,381154,1868,Point(-110.0 47.0)
1103,June,New York,Nassau County,4.4,1214,2693,Point(-73.94 40.67)
1104,October,Illinois,Jo Daviess County,5.2,149998,6334,Point(-89.0 40.0)
1105,July,Colorado,Delta County,5.5,269837,1862,Point(-105.5 39.0)
1106,February,Pennsylvania,Philadelphia County,7.3,119283,1381,Point(-77.5 41.0)
1107,March,New York,Lewis County,9.3,1214,1313,Point(-73.94 40.67)
1108,August,Kansas,Decatur County,3.6,213100,10872,Point(-98.0 38.5)
1109,May,Indiana,Decatur County,4,94321,1616,Point(-86.216666666 39.933333333)
1110,September,Oklahoma,Pushmataha County,6.7,181195,1861,Point(-98.0 35.5)
1111,September,Idaho,Cassia County,3,216699,1544,Point(-114.0 45.0)
1112,March,New York,Bronx County,8.3,1214,2718,Point(-73.94 40.67)
1113,December,New Mexico,Chaves County,6,315194,6714,Point(-106.0 34.0)
1114,December,Minnesota,Washington County,2.9,225163,1.876338,Point(-94.0 46.0)
1115,August,Texas,Morris County,9.6,696241,2895,Point(-100.0 31.0)
1116,June,Iowa,Sac County,3.3,145746,4679,Point(-93.0 42.0)
1117,December,Vermont,Orleans County,5.5,24923,2718,Point(-72.7 44.0)
1118,April,Indiana,Randolph County,4.7,94321,1313,Point(-86.216666666 39.933333333)
1119,September,Oklahoma,Dewey County,3.2,181195,2004,Point(-98.0 35.5)
1120,June,Alabama,Lauderdale County,7.7,135765,1877,Point(-86.7 32.7)
1121,November,Kansas,Scott County,2.5,213100,1023,Point(-98.0 38.5)
1122,December,Iowa,Montgomery County,3.4,145746,1272,Point(-93.0 42.0)
1123,March,New Mexico,Eddy County,4.8,315194,604,Point(-106.0 34.0)
1124,November,Indiana,Greene County,6.2,94321,13489,Point(-86.216666666 39.933333333)
1125,November,West Virginia,Calhoun County,12.2,62755,526,Point(-80.5 39.0)
1126,January,Iowa,Hardin County,5.3,145746,3600,Point(-93.0 42.0)
1127,May,Idaho,Bear Lake County,3.8,216699,1832,Point(-114.0 45.0)
1128,May,Pennsylvania,Beaver County,6.3,119283,8672,Point(-77.5 41.0)
1129,February,Virginia,Chesapeake City,5,110862,1069,Point(-79.0 37.5)
1130,February,Pennsylvania,Clinton County,7.5,119283,1695,Point(-77.5 41.0)
1131,July,North Dakota,Pierce County,3.2,183108,577,Point(-100.5 47.5)
1132,October,Idaho,Bear Lake County,3.6,216699,2807,Point(-114.0 45.0)
1133,September,Arkansas,Montgomery County,6.4,137733,27549,Point(-92.2 34.8)
1134,October,Texas,Falls County,4.1,696241,9679,Point(-100.0 31.0)
1135,December,Texas,Franklin County,4.9,696241,990,Point(-100.0 31.0)
1136,June,Virginia,Henry County,6.7,110862,6334,Point(-79.0 37.5)
1137,June,Tennessee,Dickson County,6,109247,541,Point(-86.0 36.0)
1138,December,North Carolina,Chowan County,6.7,139390,1523,Point(-80.0 35.5)
1139,September,Colorado,Garfield County,3.3,269837,313,Point(-105.5 39.0)
1140,February,Texas,Camp County,5.4,696241,7257,Point(-100.0 31.0)
1141,December,Minnesota,Stearns County,3.5,225163,2895,Point(-94.0 46.0)
1142,March,Mississippi,Sunflower County,10.9,125443,2985,Point(-90.0 33.0)
1143,May,Montana,Carter County,2.7,381154,1430,Point(-110.0 47.0)
1144,August,North Carolina,Forsyth County,5.8,139390,1071,Point(-80.0 35.5)
1145,October,Kansas,Coffey County,5.3,213100,6146,Point(-98.0 38.5)
1146,November,South Dakota,Walworth County,4.7,199729,1720,Point(-100.0 44.5)
1147,January,Kansas,Comanche County,2.7,213100,1104,Point(-98.0 38.5)
1148,June,North Carolina,Lincoln County,5.9,139390,1060,Point(-80.0 35.5)
1149,November,Virginia,Virginia Beach City,3.9,110862,1813,Point(-79.0 37.5)
1150,December,Missouri,Monroe County,4.4,181533,2413,Point(-92.5 38.5)
1151,January,Virginia,Manassas Park City,4.8,110862,14294,Point(-79.0 37.5)
1152,February,Virginia,Culpeper County,5.1,110862,2465,Point(-79.0 37.5)
1153,July,South Dakota,Dewey County,16.4,199729,1531,Point(-100.0 44.5)
1154,January,Kentucky,Bracken County,8.3,104659,5280,Point(-85.0 37.5)
1155,November,Maryland,Anne Arundel County,4.2,32133,571,Point(-76.7 39.0)
1156,September,North Carolina,Yancey County,5.2,139390,27549,Point(-80.0 35.5)
1157,July,Tennessee,Jackson County,8.5,109247,1819,Point(-86.0 36.0)
1158,August,Missouri,Clinton County,4.9,181533,2614,Point(-92.5 38.5)
1159,December,South Carolina,Greenwood County,5.3,82931,1490,Point(-81.0 34.0)
1160,December,Kansas,Thomas County,2.5,213100,11267,Point(-98.0 38.5)
1161,March,North Carolina,Catawba County,5.4,139390,2238,Point(-80.0 35.5)
1162,February,New York,Suffolk County,5.7,1214,1700,Point(-73.94 40.67)
1163,October,Arkansas,Faulkner County,4.1,137733,1299,Point(-92.2 34.8)
1164,October,Ohio,Preble County,4.3,116096,1020,Point(-82.5 40.5)
1165,September,Mississippi,Jefferson Davis County,8,125443,579,Point(-90.0 33.0)
1166,January,Texas,Real County,5.9,696241,5516,Point(-100.0 31.0)
1167,August,Pennsylvania,Warren County,4.8,119283,2693,Point(-77.5 41.0)
1168,January,Arizona,Yuma County,19.3,295234,5941,Point(-111.656944 34.286667)
1169,October,Oklahoma,Ellis County,3.9,181195,1338,Point(-98.0 35.5)
1170,November,Texas,Brazos County,3.2,696241,5174,Point(-100.0 31.0)
1171,June,Illinois,Union County,7.6,149998,1616,Point(-89.0 40.0)
1172,August,Illinois,Clay County,6.9,149998,1400,Point(-89.0 40.0)
1173,May,Nevada,Lincoln County,5.8,286380,9331,Point(-117.0 39.0)
1174,July,Oklahoma,Okmulgee County,6.4,181195,1127,Point(-98.0 35.5)
1175,December,Kansas,Sedgwick County,4.1,213100,2226,Point(-98.0 38.5)
1176,October,Nebraska,Thayer County,2.4,200520,7226,Point(-100.0 41.5)
1177,November,Montana,Fergus County,3.8,381154,10607,Point(-110.0 47.0)
1178,June,North Dakota,Dunn County,2.4,183108,2958,Point(-100.5 47.5)
1179,February,Texas,Austin County,4.1,696241,1074,Point(-100.0 31.0)
1180,May,New York,Cortland County,5.5,1214,2153,Point(-73.94 40.67)
1181,January,South Carolina,McCormick County,8.9,82931,6623,Point(-81.0 34.0)
1182,September,Virginia,Lynchburg City,5,110862,,Point(-79.0 37.5)
1183,May,Indiana,Switzerland County,4.9,94321,,Point(-86.216666666 39.933333333)
1184,June,Texas,El Paso County,5.6,696241,,Point(-100.0 31.0)
1185,March,North Carolina,Randolph County,5.6,139390,,Point(-80.0 35.5)
1186,May,Ohio,Ashland County,4.8,116096,,Point(-82.5 40.5)
1187,August,Michigan,Gladwin County,6,250493,,Point(-85.58 44.34)
1188,July,Missouri,Polk County,6.2,181533,,Point(-92.5 38.5)
1189,February,Ohio,Greene County,4.8,116096,,Point(-82.5 40.5)
1190,July,Louisiana,Caldwell Parish,8.4,135382,,Point(-92.0 31.0)
1191,August,Ohio,Madison County,3.5,116096,,Point(-82.5 40.5)
1192,July,Indiana,Dubois County,3.4,94321,,Point(-86.216666666 39.933333333)
1193,May,Texas,Van Zandt County,4.5,696241,,Point(-100.0 31.0)
1194,September,Montana,Sanders County,6.7,381154,,Point(-110.0 47.0)
1195,October,Pennsylvania,Somerset County,5.4,119283,,Point(-77.5 41.0)
1196,September,Indiana,Knox County,4.1,94321,,Point(-86.216666666 39.933333333)
1197,August,Pennsylvania,Mifflin County,5.5,119283,,Point(-77.5 41.0)
1198,March,Nebraska,Sherman County,3,200520,,Point(-100.0 41.5)
1199,January,Colorado,Baca County,2.5,269837,,Point(-105.5 39.0)
